Number,Label,Pertanyaan
262,high_order,Apa perintah untuk mencari angka positif terkecil yang secara merata dapat dibagi oleh semua angka dari 1 hingga 30.
263,high_order,Tuliskan perintah untuk membuat histogram dari daftar bilangan bulat yang diberikan.
264,high_order,"Tuliskan penjelasan tugas besar Anda, apa yang bisa dilakukan program Anda?"
265,high_order,gambarkan class diagram selengkap yang kamu bisa dari tugas kamu
266,high_order,"pilih salah satu fungsionalitas penting dari tugas besar Anda, jelaskan bagaimana obyek2 pada tugas Anda berkolaborasi dengan menunjukkan bagaimana metode(s) dari sebuah objek minta bantuan metode dari obyek lainnya"
267,high_order,tuliskan kode Java dari sebuah metode terpenting dari tugas besar anda
268,high_order,Tuliskan perintah untuk menggabungkan semua elemen dalam daftar menjadi string dan mengembalikannya
269,high_order,"ada tiga kelas remoteController dan remoteTV (berisi man metode) menstimulasi bagaimana sebuah obyek remote TV berkolaborasi dengan dua obyek TV. Di sini main metode akan membuat dua obyek TV dengan dua merek, lalu mengerjakan hal tak penting seperti memati/hidupkan TV menggunakan obyek remote kontrol. isi kotak bernomor dengan pilihan jawaban yang sesuai"
270,high_order,"Bagaimana cara mendapatkan string yang terbuat dari 2 karakter pertama dan 2 karakter terakhir dari string yang diberikan. Jika panjang string kurang dari 2, kembalilah sebagai ganti string kosong"
271,high_order,Bagaimana cara untuk mencetak semua angka genap dari daftar angka yang diberikan dalam urutan yang sama dan hentikan pencetakan jika ada angka yang muncul setelah 237 dalam urutan.
272,high_order,Tuliskan perintah yang akan menerima alas dan tinggi segitiga dan menghitung luasnya
273,high_order,"Buatlah program yang dapat menghitung nilai saat memasukan nilai dari jumlah pokok tertentu, suku bunga, dan tahun."
274,high_order,"Tuliskan perintah yang dapat membuat pola berikut, menggunakan nested for loop"
275,high_order,"Tulis sebuah program Java lengkap, untuk menghitung luas persegi panjang. Program akan bertanya pada user, nilai panjang dan lebar dalam bentuk float. Lalu program akan menghitung dan mencetak luas persegi panjang dalam bentuk pecahan atau bertipe float."
276,high_order,"Jelaskan program ""misteri"" berikut ini, apa yang akan dicetak, jika diberi sebuah input nilai tertentu. Tuliskan apa yang dicetak jika diberi input 5 dan diberi input 3."
277,high_order,"Buat sebuah program yang akan bertanya nilai Anda berapa, lalu program akan memberi nilai grade Anda. Dengan aturan, di atas 80, nilai A, Antara 70-79 nilai B, Antara  50-69 nilai C, Antara 40-49 nilai D, Di bawah 40 nilai E."
278,low_order,"Data model adalah suatu konsep yang menggambarkan, kecuali"
279,low_order,Simbol garis ganda pada ER model menunjukkan 
280,low_order,"Mapping ERD relasi 1-1 ke relasional data Base bisa dilakukan dengan cara berikut, kecuali"
281,low_order,"Salah satu keuntungan penggunaan data Base adalah independensi antara program dan data, yang dimaksud adalah:"
282,low_order,"Model data yang memanfaatkan beberapa notasi untuk menggambarkan dalam hal entitas dan relationship yang digambarkan oleh data, disebut"
283,low_order,"Salah satu komponen dari Entity Relationship Diagram (ERD) dengan definisi sebagai berikut. Kelas dari orang, tempat, objek, kejadian, atau konsep, yang kita butuhkan untuk menangkap dan menyimpan data biasanya digambarkan dengan bentuk kotak, disebut"
284,low_order,"Properti atau karakteristik dari suatu entitas biasanya digambarkan bentuk oval, disebut"
285,low_order,"Key adalah suatu atribut, atau grup dari atribut yang menggunakan sebuah nilai untuk untuk setiap instansiasi entitas. Ini disebut juga identifier. Candidate key yang akan digunakan secara unik mengidentifikasi intansiasi entitas tunggal disebut"
286,low_order,Perhatikan ER diagram berikut: cara membaca kekekangan kardinalitas (cardinality constraint maksimum dari arah kanan (entitas TANGGUNGAN) ke arah kiri (entitas PEGAWAI) adalah
287,low_order,"Salah satu tipe relational integrity constraint yang meliputi dua relasi yang digunakan saling bersilangan mereferensi kepada tupel-tupel yang ada, disebut"
288,low_order,Menghilangkan parsial defendency merupakan kaidah atau rule pada normalisasi tahap
289,low_order,"Data yang diorganisasikan, disimpan, diolah, mempunyai arti tertentu dan dapat dipakai untuk proses pengambilan keputusan disebut"
290,low_order,"Berikut ini merupakan elemen dari sebuah sistem basis data, kecuali"
291,low_order,"Nama (First_Name, Last_Name) , Alamat (Street, Number, City), merupakan contoh atribut"
292,low_order,Usia merupakan contoh dari atribut
293,low_order,Relasi ER Diagram di bawah ini memiliki tipe relasi
294,low_order,"Objek riil yang dapat dibedakan satu sama lain, dalam model ER disebut"
295,low_order,"Salah satu operasi terhadap relasi yang bertujuan untuk mengubah data, yakni menghapus data lama dan diganti dengan data baru secara sekaligus terhadap tupel, disebut"
296,high_order,Tuliskan perintah yang dapat menerima kata yang ditulis oleh pengguna dan dapat membalikannya
297,high_order,Tuliskan perintah untuk mencetak setiap item dan jenisnya dari daftar berikut.
298,high_order,Buat model diagram ER yang lengkap sesuai deskripsi dan asumsi sistem
299,high_order,Buat skema relasi (Model Relational) yang terbentuk berdasarkan model ER yang ada
300,high_order,"Buatlah sebuah program yang meminta memasukkan n integer, program kemudian mencetak nilai minimumnya, mencetak nilai maksimumnya, mencetak rata-ratanya. Perhatikan nilai rata-rata bersifat pecahan (pakai tipe float atau double)"
